,LASAR,MouseID,Ear (L/R),TumorID,Model CLID,Group#,Group Description,Response,Day Taken,Day,Area,Area Unit,Phenotype 1,Abundance 1,Ratio 1,Core 1
11195,17-0727 A,20191104 Cage-1 Mouse-1,L,13,CL587054,3,Combo,C.R.,2019-11-13,9,0.245711382,mm2,excluded,4038.49385,0.44342440004429057,3932.1828
11196,17-0727 A,20191104 Cage-1 Mouse-1,L,13,CL587054,3,Combo,C.R.,2019-11-14,10,0.363034686,mm2,excluded,5510.3973,0.10034594601267148,5115.7884
11197,17-0727 A,20191104 Cage-1 Mouse-1,L,13,CL587054,3,Combo,C.R.,2019-11-15,11,0.428616222,mm2,inflamed,7912.1091,0.938800804027232,8202.30545
11198,17-0727 A,20191104 Cage-1 Mouse-1,L,13,CL587054,3,Combo,C.R.,2019-11-17,13,0.604571368,mm2,inflamed,7168.8583,0.30397610627826027,7092.0467
11199,17-0727 A,20191104 Cage-1 Mouse-1,L,13,CL587054,3,Combo,C.R.,2019-11-18,14,0.061910305,mm2,inflamed,8766.5805,0.9526989560043118,9632.39015
11200,17-0727 A,20191104 Cage-1 Mouse-1,L,13,CL587054,3,Combo,C.R.,2019-11-19,15,0.0,mm2,None,NaN,NaN,NaN
11201,17-0727 A,20191104 Cage-1 Mouse-1,L,13,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11203,17-0727 A,20191104 Cage-1 Mouse-1,L,14,CL587054,3,Combo,C.R.,2019-11-12,8,0.288903659,mm2,excluded,3513.7315,0.25439009606847696,3131.9749
11204,17-0727 A,20191104 Cage-1 Mouse-1,L,14,CL587054,3,Combo,C.R.,2019-11-13,9,0.307107623,mm2,uncertain,5030.847,0.403946971853268,4969.7564
11202,17-0727 A,20191104 Cage-1 Mouse-1,L,14.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.1.2.3.4.5.6.7.8.9.10.11.12.13.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,excluded,2346.02825,0.2798630811268188,2204.3796
11205,17-0727 A,20191104 Cage-1 Mouse-1,L,14.15,CL587054,3,Combo,C.R.,2019-11-14,10,1.3749594569999999,mm2,excluded,6288.271049999999,0.40075028598447754,5760.9967
11206,17-0727 A,20191104 Cage-1 Mouse-1,L,14.15.20,CL587054,3,Combo,C.R.,2019-11-15,11,1.834822861,mm2,inflamed,7970.1599,0.2743156532549315,7880.60515
11207,17-0727 A,20191104 Cage-1 Mouse-1,L,14.15.20,CL587054,3,Combo,C.R.,2019-11-17,13,2.3816974799999997,mm2,excluded,7763.81805,0.20414223146863333,4773.3491
11208,17-0727 A,20191104 Cage-1 Mouse-1,L,14.15.20,CL587054,3,Combo,C.R.,2019-11-18,14,1.969907476,mm2,excluded,8094.8592499999995,0.173813657393384,5222.1744
11209,17-0727 A,20191104 Cage-1 Mouse-1,L,14.15.20,CL587054,3,Combo,C.R.,2019-11-19,15,1.7579356029999997,mm2,inflamed,9696.3428,0.014889462382113736,6271.8186000000005
11210,17-0727 A,20191104 Cage-1 Mouse-1,L,14.15.20,CL587054,3,Combo,C.R.,2019-11-21,17,1.7074144569999998,mm2,excluded,9316.84705,0.22272184679312282,5131.071
11211,17-0727 A,20191104 Cage-1 Mouse-1,L,14.15.20,CL587054,3,Combo,C.R.,2019-11-23,19,1.0705530349999999,mm2,excluded,6914.631,0.1606247490040496,3863.9305999999997
11212,17-0727 A,20191104 Cage-1 Mouse-1,L,14.15.20,CL587054,3,Combo,C.R.,2019-11-24,20,1.3217683249999999,mm2,inflamed,8229.3354,0.07158592949543173,6813.1829
11213,17-0727 A,20191104 Cage-1 Mouse-1,L,14.15.20,CL587054,3,Combo,C.R.,2019-11-25,21,0.194450089,mm2,inflamed,7783.7983,0.08574175828052095,6635.2908
11214,17-0727 A,20191104 Cage-1 Mouse-1,L,14.15.20,CL587054,3,Combo,C.R.,2019-12-02,28,0.0,mm2,None,NaN,NaN,NaN
11215,17-0727 A,20191104 Cage-1 Mouse-1,L,14.15.20,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11217,17-0727 A,20191104 Cage-1 Mouse-1,L,15,CL587054,3,Combo,C.R.,2019-11-12,8,0.438032896,mm2,excluded,3438.73665,0.22776024656322544,2816.19
11218,17-0727 A,20191104 Cage-1 Mouse-1,L,15,CL587054,3,Combo,C.R.,2019-11-13,9,0.556990747,mm2,uncertain,5030.847,0.403946971853268,4969.7564
11216,17-0727 A,20191104 Cage-1 Mouse-1,L,15.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.1.2.3.4.5.6.7.8.9.10.11.12.13.14.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,excluded,2295.9807,0.1698580179761831,2012.4971500000001
11228,17-0727 A,20191104 Cage-1 Mouse-1,L,15.14.20,CL587054,3,Combo,C.R.,2019-12-02,28,0.0,mm2,None,NaN,NaN,NaN
11229,17-0727 A,20191104 Cage-1 Mouse-1,L,15.14.20,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11231,17-0727 A,20191104 Cage-1 Mouse-1,L,16,CL587054,3,Combo,C.R.,2019-11-12,8,0.41544649499999997,mm2,excluded,2655.9741999999997,0.07361634350982976,2321.64325
11232,17-0727 A,20191104 Cage-1 Mouse-1,L,16,CL587054,3,Combo,C.R.,2019-11-13,9,0.524206755,mm2,excluded,4189.574500000001,0.31038563968165567,4165.352
11233,17-0727 A,20191104 Cage-1 Mouse-1,L,16,CL587054,3,Combo,C.R.,2019-11-14,10,0.962613463,mm2,uncertain,4911.7232,0.6306975786397422,4883.2014
11234,17-0727 A,20191104 Cage-1 Mouse-1,L,16,CL587054,3,Combo,C.R.,2019-11-15,11,1.192148839,mm2,uncertain,5723.5133000000005,0.644795700167601,5886.6161
11235,17-0727 A,20191104 Cage-1 Mouse-1,L,16,CL587054,3,Combo,C.R.,2019-11-17,13,1.6196579469999999,mm2,excluded,3220.5899,0.13287539641660315,2732.0989
11230,17-0727 A,20191104 Cage-1 Mouse-1,L,16.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,excluded,1272.0799,0.397951397645876,1184.2748
11239,17-0727 A,20191104 Cage-1 Mouse-1,L,16.10,CL587054,3,Combo,C.R.,2019-11-23,19,0.0,mm2,None,NaN,NaN,NaN
11240,17-0727 A,20191104 Cage-1 Mouse-1,L,16.10,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11242,17-0727 A,20191104 Cage-1 Mouse-1,L,17,CL587054,3,Combo,C.R.,2019-11-12,8,0.16847094899999998,mm2,excluded,3221.398,0.20761194269132777,3103.91625
11243,17-0727 A,20191104 Cage-1 Mouse-1,L,17,CL587054,3,Combo,C.R.,2019-11-13,9,0.244067968,mm2,uncertain,4828.1452,0.3429204522735862,4892.9518
11244,17-0727 A,20191104 Cage-1 Mouse-1,L,17,CL587054,3,Combo,C.R.,2019-11-14,10,0.35873767700000003,mm2,inflamed,6532.0375,0.6898090725642528,6569.3557
11245,17-0727 A,20191104 Cage-1 Mouse-1,L,17,CL587054,3,Combo,C.R.,2019-11-15,11,0.522774955,mm2,inflamed,8342.1355,0.2728014727946602,8404.1839
11246,17-0727 A,20191104 Cage-1 Mouse-1,L,17,CL587054,3,Combo,C.R.,2019-11-17,13,0.60535564,mm2,inflamed,10544.3603,0.629106641812812,9408.4275
11247,17-0727 A,20191104 Cage-1 Mouse-1,L,17,CL587054,3,Combo,C.R.,2019-11-18,14,0.6776341539999999,mm2,inflamed,17466.4792,0.7686534863512567,17762.412949999998
11248,17-0727 A,20191104 Cage-1 Mouse-1,L,17,CL587054,3,Combo,C.R.,2019-11-19,15,0.792860746,mm2,inflamed,18047.6272,0.2583673028758565,16765.59985
11249,17-0727 A,20191104 Cage-1 Mouse-1,L,17,CL587054,3,Combo,C.R.,2019-11-21,17,0.9857255309999999,mm2,inflamed,15246.311699999998,0.8699815214862061,16420.4498
11250,17-0727 A,20191104 Cage-1 Mouse-1,L,17,CL587054,3,Combo,C.R.,2019-11-23,19,1.390474944,mm2,inflamed,21423.411849999997,0.9388958868559201,23201.53235
11241,17-0727 A,20191104 Cage-1 Mouse-1,L,17.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,excluded,1558.4591,0.0445158698746604,1407.3913
11251,17-0727 A,20191104 Cage-1 Mouse-1,L,17.18.21,CL587054,3,Combo,C.R.,2019-11-24,20,2.353676274,mm2,inflamed,13976.266599999999,0.8296492557202755,15950.2785
11252,17-0727 A,20191104 Cage-1 Mouse-1,L,17.18.21,CL587054,3,Combo,C.R.,2019-11-25,21,1.7718278749999998,mm2,inflamed,14462.09,0.9550580778375584,15757.18455
11253,17-0727 A,20191104 Cage-1 Mouse-1,L,17.18.21,CL587054,3,Combo,C.R.,2019-12-02,28,1.164364295,mm2,inflamed,8222.7052,0.4585016828817023,7218.6186
11254,17-0727 A,20191104 Cage-1 Mouse-1,L,17.18.21,CL587054,3,Combo,C.R.,2019-12-04,30,0.525987282,mm2,uncertain,5675.3539,0.7977106880394843,5885.2787499999995
11255,17-0727 A,20191104 Cage-1 Mouse-1,L,17.18.21,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11256,17-0727 A,20191104 Cage-1 Mouse-1,L,17.18.21,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11258,17-0727 A,20191104 Cage-1 Mouse-1,L,18,CL587054,3,Combo,C.R.,2019-11-12,8,0.212843113,mm2,excluded,3120.22595,0.18476219987374976,2817.462
11259,17-0727 A,20191104 Cage-1 Mouse-1,L,18,CL587054,3,Combo,C.R.,2019-11-13,9,0.328471998,mm2,excluded,4646.2571,0.32062492437489654,4437.2408
11260,17-0727 A,20191104 Cage-1 Mouse-1,L,18,CL587054,3,Combo,C.R.,2019-11-14,10,0.429992934,mm2,excluded,6135.6791,0.06751568980071242,5879.9863000000005
11261,17-0727 A,20191104 Cage-1 Mouse-1,L,18,CL587054,3,Combo,C.R.,2019-11-15,11,0.630909396,mm2,inflamed,8730.02805,0.6168946535588026,8853.8876
11262,17-0727 A,20191104 Cage-1 Mouse-1,L,18,CL587054,3,Combo,C.R.,2019-11-17,13,0.776088231,mm2,inflamed,11254.0643,0.8040984547693203,11447.3817
11263,17-0727 A,20191104 Cage-1 Mouse-1,L,18,CL587054,3,Combo,C.R.,2019-11-18,14,0.285855398,mm2,inflamed,19775.8688,0.26909743409901293,20171.202
11264,17-0727 A,20191104 Cage-1 Mouse-1,L,18,CL587054,3,Combo,C.R.,2019-11-19,15,0.406713992,mm2,inflamed,21172.2325,0.6309406701544722,21540.41505
11265,17-0727 A,20191104 Cage-1 Mouse-1,L,18,CL587054,3,Combo,C.R.,2019-11-21,17,0.174884096,mm2,inflamed,18140.899550000002,0.9988095692328074,19254.7407
11266,17-0727 A,20191104 Cage-1 Mouse-1,L,18,CL587054,3,Combo,C.R.,2019-11-23,19,0.336089736,mm2,inflamed,21423.411849999997,0.9388958868559201,23201.53235
11257,17-0727 A,20191104 Cage-1 Mouse-1,L,18.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,excluded,1781.3695,0.19956999755028085,1489.13625
11271,17-0727 A,20191104 Cage-1 Mouse-1,L,18.17.21,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11272,17-0727 A,20191104 Cage-1 Mouse-1,L,18.17.21,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11273,17-0727 A,20191104 Cage-1 Mouse-1,L,19,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,uncertain,1785.8839,0.9012294993168207,1893.57825
11274,17-0727 A,20191104 Cage-1 Mouse-1,L,19,CL587054,3,Combo,C.R.,2019-11-12,8,0.28144509,mm2,excluded,3146.48105,0.1036065366296286,2994.0139
11275,17-0727 A,20191104 Cage-1 Mouse-1,L,19,CL587054,3,Combo,C.R.,2019-11-13,9,0.375667462,mm2,uncertain,4586.53975,0.6044015802477194,4291.2118
11276,17-0727 A,20191104 Cage-1 Mouse-1,L,19,CL587054,3,Combo,C.R.,2019-11-14,10,0.465829155,mm2,excluded,6067.1618,0.13161811819799998,5110.5869999999995
11277,17-0727 A,20191104 Cage-1 Mouse-1,L,19,CL587054,3,Combo,C.R.,2019-11-15,11,0.529867105,mm2,inflamed,7860.404399999999,0.9852762939794387,8372.033
11278,17-0727 A,20191104 Cage-1 Mouse-1,L,19,CL587054,3,Combo,C.R.,2019-11-17,13,1.081817891,mm2,inflamed,10403.242699999999,0.4085951879332132,10366.453
11279,17-0727 A,20191104 Cage-1 Mouse-1,L,19,CL587054,3,Combo,C.R.,2019-11-18,14,0.202793796,mm2,inflamed,18495.572399999997,0.9559136061362284,20599.911
11280,17-0727 A,20191104 Cage-1 Mouse-1,L,19,CL587054,3,Combo,C.R.,2019-11-19,15,0.0,mm2,None,NaN,NaN,NaN
11281,17-0727 A,20191104 Cage-1 Mouse-1,L,19,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11115,17-0727 A,20191104 Cage-1 Mouse-1,L,2,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,inflamed,2725.27695,0.8059427830526544,2743.7336
11116,17-0727 A,20191104 Cage-1 Mouse-1,L,2,CL587054,3,Combo,C.R.,2019-11-12,8,0.065357289,mm2,uncertain,3353.6251,0.8174407792912513,3482.4507000000003
11117,17-0727 A,20191104 Cage-1 Mouse-1,L,2,CL587054,3,Combo,C.R.,2019-11-13,9,0.130377468,mm2,inflamed,4835.2454,0.8868171504105116,4952.9521
11118,17-0727 A,20191104 Cage-1 Mouse-1,L,2,CL587054,3,Combo,C.R.,2019-11-14,10,0.19232244399999998,mm2,inflamed,6614.2909500000005,0.432028158719284,6642.6389
11119,17-0727 A,20191104 Cage-1 Mouse-1,L,2,CL587054,3,Combo,C.R.,2019-11-15,11,0.19732866799999998,mm2,inflamed,8166.1992,0.9190419661948899,8953.8713
11120,17-0727 A,20191104 Cage-1 Mouse-1,L,2,CL587054,3,Combo,C.R.,2019-11-17,13,0.0,mm2,None,NaN,NaN,NaN
11121,17-0727 A,20191104 Cage-1 Mouse-1,L,2,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11283,17-0727 A,20191104 Cage-1 Mouse-1,L,20,CL587054,3,Combo,C.R.,2019-11-12,8,0.014664304999999999,mm2,uncertain,3226.5992,0.4467558242777833,3190.7164
11284,17-0727 A,20191104 Cage-1 Mouse-1,L,20,CL587054,3,Combo,C.R.,2019-11-13,9,0.026758142,mm2,uncertain,5402.7248,0.40536304448203975,5436.9599
11285,17-0727 A,20191104 Cage-1 Mouse-1,L,20,CL587054,3,Combo,C.R.,2019-11-14,10,0.077554755,mm2,excluded,6288.271049999999,0.40075028598447754,5760.9967
11282,17-0727 A,20191104 Cage-1 Mouse-1,L,20.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.21.22.23.24.25.26.27.28.29.30.31.32.33.34,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,excluded,1663.15615,0.0,1582.918
11294,17-0727 A,20191104 Cage-1 Mouse-1,L,20.14.15,CL587054,3,Combo,C.R.,2019-12-02,28,0.0,mm2,None,NaN,NaN,NaN
11295,17-0727 A,20191104 Cage-1 Mouse-1,L,20.14.15,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11297,17-0727 A,20191104 Cage-1 Mouse-1,L,21,CL587054,3,Combo,C.R.,2019-11-12,8,0.42235726,mm2,excluded,3201.6968,0.11452405592162078,2692.0123
11298,17-0727 A,20191104 Cage-1 Mouse-1,L,21,CL587054,3,Combo,C.R.,2019-11-13,9,0.554799529,mm2,excluded,4957.1535,0.32092069392679545,4587.218
11299,17-0727 A,20191104 Cage-1 Mouse-1,L,21,CL587054,3,Combo,C.R.,2019-11-14,10,0.842672676,mm2,excluded,6319.677250000001,0.061949349178816226,5988.6731
11300,17-0727 A,20191104 Cage-1 Mouse-1,L,21,CL587054,3,Combo,C.R.,2019-11-15,11,1.073584764,mm2,inflamed,8289.2768,0.4998884005102463,8421.4048
11301,17-0727 A,20191104 Cage-1 Mouse-1,L,21,CL587054,3,Combo,C.R.,2019-11-17,13,1.424271938,mm2,inflamed,9073.2986,0.37547827781682896,8003.7929
11302,17-0727 A,20191104 Cage-1 Mouse-1,L,21,CL587054,3,Combo,C.R.,2019-11-18,14,1.087894222,mm2,inflamed,16388.4314,0.5504068638338129,16391.2773
11303,17-0727 A,20191104 Cage-1 Mouse-1,L,21,CL587054,3,Combo,C.R.,2019-11-19,15,1.288768965,mm2,excluded,7877.5326,0.03250454082567267,3762.9958
11304,17-0727 A,20191104 Cage-1 Mouse-1,L,21,CL587054,3,Combo,C.R.,2019-11-21,17,0.32811627299999996,mm2,inflamed,7696.24805,0.22681579738787905,6873.980799999999
11305,17-0727 A,20191104 Cage-1 Mouse-1,L,21,CL587054,3,Combo,C.R.,2019-11-23,19,0.458521228,mm2,inflamed,21423.411849999997,0.9388958868559201,23201.53235
11296,17-0727 A,20191104 Cage-1 Mouse-1,L,21.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.22.23.24.25.26.27.28.29.30.31.32.33.34,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,excluded,1624.3131,0.2980125407754576,1511.0497
11310,17-0727 A,20191104 Cage-1 Mouse-1,L,21.17.18,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11311,17-0727 A,20191104 Cage-1 Mouse-1,L,21.17.18,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11313,17-0727 A,20191104 Cage-1 Mouse-1,L,22,CL587054,3,Combo,C.R.,2019-11-12,8,0.060511326,mm2,uncertain,3575.5955999999996,0.44609485635705837,3493.2706500000004
11314,17-0727 A,20191104 Cage-1 Mouse-1,L,22,CL587054,3,Combo,C.R.,2019-11-13,9,0.131430938,mm2,excluded,4450.0945,0.3959238439201836,4373.159900000001
11315,17-0727 A,20191104 Cage-1 Mouse-1,L,22,CL587054,3,Combo,C.R.,2019-11-14,10,0.162493691,mm2,excluded,5559.3060000000005,0.3506152503918723,5406.1923
11316,17-0727 A,20191104 Cage-1 Mouse-1,L,22,CL587054,3,Combo,C.R.,2019-11-15,11,0.20162567699999998,mm2,inflamed,7860.404399999999,0.9852762939794387,8372.033
11312,17-0727 A,20191104 Cage-1 Mouse-1,L,22.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.23.24.25.26.27.28.29.30.31.32.33.34,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,desert,1374.7449000000001,0.5273506130466593,1356.883
11319,17-0727 A,20191104 Cage-1 Mouse-1,L,22.19,CL587054,3,Combo,C.R.,2019-11-19,15,0.0,mm2,None,NaN,NaN,NaN
11320,17-0727 A,20191104 Cage-1 Mouse-1,L,22.19,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11321,17-0727 A,20191104 Cage-1 Mouse-1,L,23,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,excluded,2320.92625,0.3955054186650265,2287.0164
11322,17-0727 A,20191104 Cage-1 Mouse-1,L,23,CL587054,3,Combo,C.R.,2019-11-12,8,0.179216345,mm2,inflamed,5398.745,0.7623431120221694,5494.1645499999995
11323,17-0727 A,20191104 Cage-1 Mouse-1,L,23,CL587054,3,Combo,C.R.,2019-11-13,9,0.344358328,mm2,inflamed,6466.9857,0.47776573960350854,6385.5695
11324,17-0727 A,20191104 Cage-1 Mouse-1,L,23,CL587054,3,Combo,C.R.,2019-11-14,10,0.5330794329999999,mm2,inflamed,7082.2919,0.5000549068513795,7060.025
11325,17-0727 A,20191104 Cage-1 Mouse-1,L,23,CL587054,3,Combo,C.R.,2019-11-15,11,0.664492816,mm2,inflamed,7687.84195,0.24123952950222124,8124.266
11326,17-0727 A,20191104 Cage-1 Mouse-1,L,23,CL587054,3,Combo,C.R.,2019-11-17,13,1.004822846,mm2,excluded,5954.82755,0.14073535879400742,5659.5512
11327,17-0727 A,20191104 Cage-1 Mouse-1,L,23,CL587054,3,Combo,C.R.,2019-11-18,14,0.30175015899999996,mm2,inflamed,8024.9023,1.0,9081.570800000001
11328,17-0727 A,20191104 Cage-1 Mouse-1,L,23,CL587054,3,Combo,C.R.,2019-11-19,15,0.113432695,mm2,excluded,6125.9766,0.09314538053267016,2176.6004
